type,id,name,status,score,band,signals,warnings
draft,draft_prairie_managed_services_first_touch,Prairie Managed Services,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_orbit_founder_office_meeting_recap,Orbit Founder Office,needs_review,80,reviewable,meeting_recap; 3 evidence; no contact; prior context; 2 risk flags,missing contact context
draft,draft_north_pier_advisory_first_touch,North Pier Advisory,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_copperline_creative_ops_first_touch,Copperline Creative Ops,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_beacon_ai_enablement_first_touch,Beacon AI Enablement,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_fathom_customer_lab_first_touch,Fathom Customer Lab,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_evergreen_tax_group_first_touch,Evergreen Tax Group,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_mapleworks_digital_stale_opportunity_revive,MapleWorks Digital,needs_review,80,reviewable,stale_opportunity_revive; 3 evidence; no contact; prior context; 2 risk flags,missing contact context
draft,draft_bridgepoint_gtm_first_touch,Bridgepoint GTM,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_corepath_systems_first_touch,CorePath Systems,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_lumen_launch_studio_first_touch,Lumen Launch Studio,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_tandem_ops_partners_first_touch,Tandem Ops Partners,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_brightlane_creative_warm_follow_up_rev1,Brightlane Creative,needs_review,91,strong,warm_follow_up; 3 evidence; contact context; prior context; 0 risk flags,
